cof,kx4,ky4,kx5,ky5,kx6,ky6,kx7,ky7,kx8,ky8
linker93_NH_linker8_CO_hca_relaxed,0.194159891678438,0.1982658098971708,0.1935932238634611,0.1901930471302609,0.1987488350898006,0.2011413307578422,0.1996262510270187,0.2027687095311109,0.219091110686824,0.2160986568662795
linker92_C_linker10_C_hnd_relaxed,0.8612446169472324,0.8652766266105201,0.9191796978133449,0.883574660859763,0.9598902912809312,0.9553109140119438,1.0272727205541383,0.9802876335995075,0.9905077587992244,1.0181784361105042
linker91_C_linker12_C_fss_relaxed,1.6961918822590996,1.8881258363879063,1.9328721785305925,2.101303826242209,1.998865722631394,1.993409258735464,2.001355370338533,2.030222197701033,2.024390685089135,2.071740483162178
linker91_C_linker81_C_fxt_relaxed,2.3165042953154718,2.913299083901395,2.6889123400377173,2.7144682953664763,2.902126272521506,2.7418755643822745,3.2717819946951723,2.6600520386870543,2.960931449985746,2.8789989220739747
linker92_C_linker87_C_hcb_relaxed,3.042490528308388,2.921063177713764,3.342959725179163,2.968019157718675,3.729199999842152,3.799606460291429,4.033317954251595,3.9910584256403454,4.135866656213688,3.96454659862361
COF-5,1.070763,1.001335,1.510952,1.279340,1.362491,1.388143,1.567717,1.521233,1.643702,1.555019
TP-COF,0.824203,0.832825,0.795566,0.926451,1.040247,0.998019,1.073691,1.072217,1.073208,1.139500
