,COF ID,k_avg [W/(mK)],k_x [W/(mK)],k_y [W/(mK)],Density [g/cm³],Largest included sphere diameter [A],Void fraction [-],Surface area [m^2/g],Dangling Mass Ratio [-]
591,linker111_C_linker7_C_sql_relaxed,0.9321854800401546,0.9207469433748576,0.9436240167054516,0.75710738,8.19452,0.527705,2492.79,0.289554157
592,linker95_NH_linker58_CH2_hcb_relaxed,0.36918992636660297,0.3674329795850868,0.3709468731481191,0.29593059,40.76266,0.938821,9905.62,0.056790187
593,linker91_C_linker22_C_hnb_relaxed,0.4919539859171269,0.489412075634196,0.4944958962000578,0.5781517,25.52002,0.880836,6297.82,
594,linker97_N_linker22_CH_kgm_relaxed,0.46937096984790216,0.4704028556749683,0.468339084020836,0.32698326,54.33954,0.931787,8060.81,0.182495567
595,linker97_CH2_linker42_NH_kgm_relaxed,0.42305655243946333,0.412890806550427,0.4332222983284997,0.37412834,45.92213,0.917159,7335.33,0.233794788
596,linker91_NH_linker50_CH2_htb-a_relaxed,0.3442488291498813,0.3542520524501292,0.3342456058496335,0.72235005,37.53411,0.836244,5769.43,
597,linker91_C_linker77_C_hnc_relaxed,1.864137269602065,1.6934426820493933,2.034831857154737,1.0756046,11.25288,0.843146,6283.27,0.111303829
598,linker92_C_linker30_C_hna_relaxed,1.701465291880317,1.674033883138347,1.7288967006222873,0.60759132,21.64338,0.889949,8194.0,0.039352804
599,linker98_C_linker34_C_sql_relaxed,0.8003319031671983,0.8021079822404444,0.7985558240939521,0.55207928,20.36752,0.873666,6380.87,0.327341795
600,linker96_C_linker22_C_hca_relaxed,0.43117986908735073,0.4477229554933815,0.4146367826813199,0.28951853,65.42572,0.946452,7640.26,0.152270038
601,linker92_CH_linker15_N_fxt_relaxed,0.48009072335412845,0.4511608594771772,0.5090205872310797,0.38784659,54.70767,0.926953,8618.84,0.054859571
602,linker97_CH_linker70_N_sql_relaxed,0.544143032743245,0.5771028616545045,0.5111832038319856,0.44486243,29.83975,0.904842,7313.8,0.205154725
603,linker107_N_linker49_CH_sql_relaxed,0.9018217296381175,0.8863156300811865,0.9173278291950484,1.1093428,9.33777,0.85233,6440.84,0.299529787
604,linker95_C_linker35_C_hnb_relaxed,0.4708666687922476,0.4493000684288143,0.4924332691556808,0.28017735,54.96499,0.950921,8678.41,0.079007582
605,linker93_C_linker62_C_hnb_relaxed,0.4670407527636896,0.4894874071578107,0.4445940983695685,0.33320745,28.90377,0.90328,7184.12,0.132606247
606,linker97_C_linker76_C_sql_relaxed,1.2482374199546469,1.2304971650541687,1.265977674855125,0.43649904,26.8539,0.910752,7925.11,0.12193702
607,linker94_C_linker63_C_hca_relaxed,0.5150724605847032,0.525089521256562,0.5050553999128444,0.34293951,49.94854,0.931103,8043.31,0.135721558
608,linker98_C_linker35_C_sql_relaxed,1.189664715125337,1.197101915561848,1.182227514688826,0.52922718,23.18742,0.901307,6803.0,0.131300558
609,linker98_C_linker68_C_sql_relaxed,1.0670594100843696,1.0602231072325918,1.073895712936147,0.64819483,16.882,0.863281,6347.97,0.233587711
610,linker92_C_linker63_C_hnd_relaxed,1.25632510149938,1.3100157749182535,1.2026344280805064,1.0264232,11.86788,0.791928,6057.09,0.208581843
611,linker105_N_linker63_CH_kgm_relaxed,0.6878002099912478,0.6712070262638635,0.7043933937186321,0.83825029,24.21609,0.870017,6702.73,
612,linker91_C_linker5_C_car_relaxed,0.800161104303835,0.921929812662576,0.6783923959450942,0.81669796,13.58941,0.784357,5855.25,0.209704188
613,linker98_N_linker94_CH_bey_relaxed,0.7708618659915538,0.7201791272389749,0.8215446047441327,0.56441921,20.1819,0.88299,7690.89,0.136626811
614,linker97_C_linker40_C_sql_relaxed,1.0721252268635086,1.100986379689775,1.043264074037242,0.43428044,31.30908,0.916921,7047.11,0.176126429
615,linker96_C_linker49_C_kgd-a_relaxed,0.7021563934481637,0.693524770628266,0.7107880162680614,0.5419092,25.83499,0.903155,6450.25,0.21895564
616,linker97_N_linker46_CH_sql_relaxed,0.5920284969590848,0.5862426156592494,0.59781437825892,0.42278839,30.61049,0.911814,7182.12,0.216166566
617,linker92_CO_linker68_NH_hcb_relaxed,0.8605271770215344,0.8848908489351229,0.8361635051079458,0.82647998,15.26538,0.882287,7226.87,0.320405431
618,linker101_C_linker71_C_kgm_relaxed,0.7247294803932731,0.7333639389829194,0.7160950218036269,0.69172575,17.08615,0.743436,3886.99,0.298668586
619,linker98_N_linker87_CH_sql_relaxed,0.7297587553048686,0.7063117831270883,0.7532057274826488,0.46987906,23.26813,0.8991,7807.58,0.154292668
620,linker91_N_linker12_CH_hcb_relaxed,0.7089690196404066,0.7275832146287997,0.6903548246520136,0.82071172,16.51983,0.883088,7571.62,
621,linker104_N_linker63_CH_kgm_relaxed,0.723038062948719,0.7434630107756005,0.7026131151218376,0.86347991,21.43081,0.840321,6432.21,0.25657406
622,linker104_C_linker82_C_kgm_relaxed,0.7432528307041828,0.7330502652585181,0.7534553961498476,0.73505262,16.72198,0.796545,5072.82,0.256364558
623,linker91_C_linker63_C_fss_relaxed,1.2144898407863227,1.1882831779873315,1.240696503585314,1.1179408,12.88061,0.8062,5922.91,
624,linker92_NH_linker12_CH2_fxt_relaxed,0.30800765307336014,0.3006836364443395,0.3153316697023808,0.56652337,39.39976,0.867911,6230.33,0.353118781
625,linker96_C_linker30_C_hnb_relaxed,0.8967989816700309,0.9496281719620346,0.8439697913780272,0.34093749,43.98273,0.941789,8610.85,0.038801901
626,linker92_C_linker4_C_kgd-a_relaxed,0.8225643660656323,0.8272252299348511,0.8179035021964136,0.70441614,11.95423,0.807756,5483.75,0.298238439
627,linker95_N_linker15_CH_hcb_relaxed,0.3970600379932757,0.3907515692080485,0.4033685067785029,0.27931618,47.29551,0.952153,9656.56,0.074592366
628,linker93_C_linker75_C_hcb_relaxed,0.6543439711083455,0.6156472922935219,0.6930406499231692,0.52084701,19.51363,0.832309,5597.59,0.269979669
629,linker91_C_linker78_C_tts-a_relaxed,1.6733245279409434,1.633870784462802,1.7127782714190851,1.1453053,16.28965,0.812636,5945.16,0.200092421
630,linker92_C_linker47_C_hna_relaxed,0.9255482288477384,0.9227590519251876,0.9283374057702892,0.86859013,11.31951,0.688498,2748.21,0.455951731
631,linker92_C_linker40_C_hca_relaxed,0.5353808079492248,0.5554787051411735,0.5152829107572763,0.4442892,40.39431,0.910362,5469.39,0.270487719
632,linker96_CO_linker65_NH_hcb_relaxed,0.8819952782866016,0.8588181001628757,0.9051724564103276,0.49299903,30.52726,0.924631,7255.39,0.224950762
633,linker92_C_linker87_C_kgd-a_relaxed,1.5576929631910073,1.4561771311797589,1.6592087952022556,0.63638577,13.56063,0.831923,7554.59,0.047939885
634,linker91_N_linker6_CH_car_relaxed,0.4697163927628264,0.5253182321189827,0.4141145534066701,0.85625057,25.08316,0.870223,5894.36,
635,linker92_C_linker80_C_hca_relaxed,0.3305034942415242,0.3288993242303579,0.3321076642526905,0.45735984,23.83098,0.705876,3152.29,0.380236815
636,linker107_N_linker4_CH_kgm_relaxed,0.552366333057255,0.5335052833108419,0.571227382803668,0.85266879,22.50354,0.860125,6396.22,
637,linker92_CO_linker6_NH_hcb_relaxed,0.5898872585456856,0.5885876317364701,0.591186885354901,0.84222307,15.47518,0.853037,6176.1,0.430361149
638,linker92_C_linker3_C_htb-a_relaxed,0.7610297153564758,0.7669640595282659,0.7550953711846856,0.66222271,27.20801,0.790174,5880.35,0.143203624
639,linker91_C_linker3_C_ply_relaxed,1.2898732882401314,1.3150063739825535,1.2647402024977092,0.95870216,16.2189,0.822855,6616.08,
